ppm	val
1.87899	-0.211398	
1.87918	-0.177731	
1.87936	-0.143794	
1.87954	-0.144624	
1.87973	-0.176916	
1.87991	-0.175274	
1.8801	-0.142952	
1.88028	-0.151831	
1.88046	-0.161052	
1.88065	-0.168014	
1.88083	-0.155436	
1.88102	-0.15605	
1.8812	-0.137726	
1.88138	-0.118209	
1.88157	-0.123606	
1.88175	-0.110054	
1.88193	-0.105418	
1.88212	-0.0681511	
1.8823	-0.0696791	
1.88249	-0.0665881	
1.88267	-0.0652389	
1.88285	-0.0831596	
1.88304	-0.0206164	
1.88322	-0.013614	
1.8834	-0.0228195	
1.88359	-0.00461196	
1.88377	0.00997904	
1.88396	0.0241685	
1.88414	0.0161347	
1.88432	0.0135608	
1.88451	0.00465411	
1.88469	0.0362678	
1.88488	0.0400391	
1.88506	-0.000153208	
1.88524	0.016148	
1.88543	0.0265568	
1.88561	-0.0161652	
1.88579	-0.0239445	
1.88598	-0.0257379	
1.88616	-0.0609812	
1.88635	-0.0558284	
1.88653	-0.0821338	
1.88671	-0.0932481	
1.8869	-0.0807175	
1.88708	-0.110097	
1.88727	-0.104164	
1.88745	-0.102146	
1.88763	-0.121805	
1.88782	-0.14041	
1.888	-0.128339	
1.88818	-0.131145	
1.88837	-0.159131	
1.88855	-0.152059	
1.88874	-0.158232	
1.88892	-0.158287	
1.8891	-0.171162	
1.88929	-0.17889	
1.88947	-0.150224	
1.88966	-0.17092	
1.88984	-0.19271	
1.89002	-0.166356	
1.89021	-0.165726	
1.89039	-0.167097	
1.89057	-0.166506	
1.89076	-0.198631	
1.89094	-0.176284	
1.89113	-0.171909	
1.89131	-0.203435	
1.89149	-0.174263	
1.89168	-0.170634	
1.89186	-0.163922	
1.89205	-0.141045	
1.89223	-0.158469	
1.89241	-0.166244	
1.8926	-0.162084	
1.89278	-0.151425	
1.89296	-0.14193	
1.89315	-0.141305	
1.89333	-0.163379	
1.89352	-0.180813	
1.8937	-0.151285	
1.89388	-0.142876	
1.89407	-0.131583	
1.89425	-0.123712	
1.89444	-0.145569	
1.89462	-0.122321	
1.8948	-0.101334	
1.89499	-0.0944993	
1.89517	-0.0810733	
1.89535	-0.0669958	
1.89554	-0.067083	
1.89572	-0.0650044	
1.89591	-0.057231	
1.89609	-0.0798531	
1.89627	-0.0531404	
1.89646	-0.0484996	
1.89664	-0.0608964	
1.89682	-0.0485081	
1.89701	-0.0709039	
1.89719	-0.0560128	
1.89738	-0.0590257	
1.89756	-0.0703432	
1.89774	-0.0742373	
1.89793	-0.0924685	
1.89811	-0.0942687	
1.8983	-0.103467	
1.89848	-0.105853	
1.89866	-0.10941	
1.89885	-0.111249	
1.89903	-0.13147	
1.89921	-0.151311	
1.8994	-0.157381	
1.89958	-0.130741	
1.89977	-0.130143	
1.89995	-0.173869	
1.90013	-0.144445	
1.90032	-0.1541	
1.9005	-0.174271	
1.90069	-0.170353	
1.90087	-0.174836	
1.90105	-0.159485	
1.90124	-0.191326	
1.90142	-0.196685	
1.9016	-0.183113	
1.90179	-0.164072	
1.90197	-0.163047	
1.90216	-0.195508	
1.90234	-0.183517	
1.90252	-0.178243	
1.90271	-0.191901	
1.90289	-0.201667	
1.90308	-0.189388	
1.90326	-0.182108	
1.90344	-0.191254	
1.90363	-0.168869	
1.90381	-0.168084	
1.90399	-0.183207	
1.90418	-0.153574	
1.90436	-0.17365	
1.90455	-0.197034	
1.90473	-0.167221	
1.90491	-0.189086	
1.9051	-0.172787	
1.90528	-0.168848	
1.90547	-0.199076	
1.90565	-0.176207	
1.90583	-0.154716	
1.90602	-0.13907	
1.9062	-0.151877	
1.90638	-0.134118	
1.90657	-0.116885	
1.90675	-0.108486	
1.90694	-0.106733	
1.90712	-0.129481	
1.9073	-0.114986	
1.90749	-0.131491	
1.90767	-0.129953	
1.90786	-0.123409	
1.90804	-0.118333	
1.90822	-0.111182	
1.90841	-0.124666	
1.90859	-0.114758	
1.90877	-0.142763	
1.90896	-0.142232	
1.90914	-0.13452	
1.90933	-0.148546	
1.90951	-0.139384	
1.90969	-0.12688	
1.90988	-0.145545	
1.91006	-0.18064	
1.91025	-0.153922	
1.91043	-0.151204	
1.91061	-0.146989	
1.9108	-0.150124	
1.91098	-0.179035	
1.91116	-0.145702	
1.91135	-0.159607	
1.91153	-0.182435	
1.91172	-0.152782	
1.9119	-0.156179	
1.91208	-0.153598	
1.91227	-0.149344	
1.91245	-0.180142	
1.91263	-0.161078	
1.91282	-0.155117	
1.913	-0.175477	
1.91319	-0.152362	
1.91337	-0.164775	
1.91355	-0.170596	
1.91374	-0.173713	
1.91392	-0.197984	
1.91411	-0.195124	
1.91429	-0.179615	
1.91447	-0.182654	
1.91466	-0.184403	
1.91484	-0.159137	
1.91502	-0.188978	
1.91521	-0.208243	
1.91539	-0.173928	
1.91558	-0.151833	
1.91576	-0.15768	
1.91594	-0.18601	
1.91613	-0.170641	
1.91631	-0.172455	
1.9165	-0.192041	
1.91668	-0.179997	
1.91686	-0.183634	
1.91705	-0.168514	
1.91723	-0.160602	
1.91741	-0.177952	
1.9176	-0.16807	
1.91778	-0.180517	
1.91797	-0.181551	
1.91815	-0.146327	
1.91833	-0.161577	
1.91852	-0.158814	
1.9187	-0.141199	
1.91889	-0.166514	
1.91907	-0.150803	
1.91925	-0.135169	
1.91944	-0.163029	
1.91962	-0.137717	
1.9198	-0.133609	
1.91999	-0.173234	
1.92017	-0.154413	
1.92036	-0.176584	
1.92054	-0.18535	
1.92072	-0.154793	
1.92091	-0.159989	
1.92109	-0.152302	
1.92128	-0.161155	
1.92146	-0.151893	
1.92164	-0.153856	
1.92183	-0.172195	
1.92201	-0.168542	
1.92219	-0.154332	
1.92238	-0.135243	
1.92256	-0.135115	
1.92275	-0.123252	
1.92293	-0.126076	
1.92311	-0.113074	
1.9233	-0.112966	
1.92348	-0.114724	
1.92367	-0.107151	
1.92385	-0.125021	
1.92403	-0.09795	
1.92422	-0.0961844	
1.9244	-0.0909698	
1.92458	-0.097752	
1.92477	-0.106557	
1.92495	-0.0981072	
1.92514	-0.125295	
1.92532	-0.112148	
1.9255	-0.117026	
1.92569	-0.111108	
1.92587	-0.126615	
1.92605	-0.136604	
1.92624	-0.12823	
1.92642	-0.169528	
1.92661	-0.146358	
1.92679	-0.170297	
1.92697	-0.168608	
1.92716	-0.144712	
1.92734	-0.17656	
1.92753	-0.123767	
1.92771	-0.128662	
1.92789	-0.166188	
1.92808	-0.160119	
1.92826	-0.156291	
1.92844	-0.154356	
1.92863	-0.17018	
1.92881	-0.160002	
1.929	-0.161265	
1.92918	-0.159965	
1.92936	-0.159979	
1.92955	-0.179355	
1.92973	-0.156946	
1.92992	-0.141954	
1.9301	-0.148212	
1.93028	-0.150432	
1.93047	-0.159331	
1.93065	-0.15084	
1.93083	-0.131583	
1.93102	-0.126394	
1.9312	-0.128563	
1.93139	-0.132722	
1.93157	-0.117535	
1.93175	-0.106039	
1.93194	-0.115205	
1.93212	-0.096077	
1.93231	-0.093561	
1.93249	-0.109365	
1.93267	-0.11972	
1.93286	-0.103414	
1.93304	-0.0651266	
1.93322	-0.0959212	
1.93341	-0.0776586	
1.93359	-0.0393177	
1.93378	-0.0541659	
1.93396	-0.0313765	
1.93414	-0.0248578	
1.93433	-0.00375359	
1.93451	0.0055919	
1.9347	-0.00115443	
1.93488	0.0147491	
1.93506	0.0244633	
1.93525	0.0372751	
1.93543	0.0419246	
1.93561	0.0724498	
1.9358	0.0715234	
1.93598	0.0581455	
1.93617	0.0700033	
1.93635	0.0846053	
1.93653	0.0947075	
1.93672	0.0888503	
1.9369	0.109008	
1.93709	0.131711	
1.93727	0.195342	
1.93745	0.226344	
1.93764	0.231345	
1.93782	0.297729	
1.938	0.355954	
1.93819	0.435102	
1.93837	0.529249	
1.93856	0.628944	
1.93874	0.727091	
1.93892	0.825704	
1.93911	0.878486	
1.93929	0.920746	
1.93948	0.952139	
1.93966	0.885208	
1.93984	0.862997	
1.94003	0.806137	
1.94021	0.683478	
1.94039	0.591297	
1.94058	0.513059	
1.94076	0.440966	
1.94095	0.366594	
1.94113	0.328372	
1.94131	0.273989	
1.9415	0.236697	
1.94168	0.196092	
1.94186	0.167381	
1.94205	0.133639	
1.94223	0.0789746	
1.94242	0.0985509	
1.9426	0.070371	
1.94278	0.0631911	
1.94297	0.0670965	
1.94315	0.0512114	
1.94334	0.0576088	
1.94352	0.0362348	
1.9437	0.0575653	
1.94389	0.0584418	
1.94407	0.0714264	
1.94425	0.0691261	
1.94444	0.0580169	
1.94462	0.103267	
1.94481	0.107076	
1.94499	0.111582	
1.94517	0.122415	
1.94536	0.150711	
1.94554	0.169679	
1.94573	0.183331	
1.94591	0.206024	
1.94609	0.201425	
1.94628	0.244706	
1.94646	0.26664	
1.94664	0.284633	
1.94683	0.326281	
1.94701	0.333187	
1.9472	0.355398	
1.94738	0.362322	
1.94756	0.405968	
1.94775	0.479781	
1.94793	0.510587	
1.94812	0.540829	
1.9483	0.590323	
1.94848	0.692841	
1.94867	0.779601	
1.94885	0.867922	
1.94903	1.00107	
1.94922	1.14874	
1.9494	1.3454	
1.94959	1.55056	
1.94977	1.80904	
1.94995	2.08562	
1.95014	2.38624	
1.95032	2.7267	
1.95051	3.03757	
1.95069	3.38417	
1.95087	3.64892	
1.95106	3.82443	
1.95124	3.97351	
1.95142	4.08622	
1.95161	4.1214	
1.95179	4.02605	
1.95198	3.88622	
1.95216	3.66472	
1.95234	3.43445	
1.95253	3.18778	
1.95271	2.8889	
1.9529	2.6173	
1.95308	2.32156	
1.95326	2.05931	
1.95345	1.82658	
1.95363	1.63394	
1.95381	1.49303	
1.954	1.3279	
1.95418	1.19691	
1.95437	1.10872	
1.95455	0.990958	
1.95473	0.904311	
1.95492	0.843188	
1.9551	0.786687	
1.95528	0.783102	
1.95547	0.720651	
1.95565	0.676984	
1.95584	0.669188	
1.95602	0.644791	
1.9562	0.6531	
1.95639	0.638343	
1.95657	0.677491	
1.95676	0.693519	
1.95694	0.695485	
1.95712	0.751566	
1.95731	0.776325	
1.95749	0.826083	
1.95767	0.884614	
1.95786	0.949475	
1.95804	1.03963	
1.95823	1.12244	
1.95841	1.21529	
1.95859	1.3207	
1.95878	1.42916	
1.95896	1.59786	
1.95915	1.78141	
1.95933	1.9767	
1.95951	2.22364	
1.9597	2.48225	
1.95988	2.84262	
1.96006	3.21887	
1.96025	3.64764	
1.96043	4.1954	
1.96062	4.72872	
1.9608	5.25904	
1.96098	5.79384	
1.96117	6.30861	
1.96135	6.65788	
1.96154	6.89403	
1.96172	7.06008	
1.9619	7.10961	
1.96209	7.15537	
1.96227	7.18762	
1.96245	7.27903	
1.96264	7.43767	
1.96282	7.62704	
1.96301	7.83871	
1.96319	8.04477	
1.96337	8.23353	
1.96356	8.32169	
1.96374	8.25223	
1.96393	8.02522	
1.96411	7.70978	
1.96429	7.31077	
1.96448	6.79462	
1.96466	6.16397	
1.96484	5.5951	
1.96503	5.09796	
1.96521	4.55464	
1.9654	4.10057	
1.96558	3.69732	
1.96576	3.3336	
1.96595	3.04544	
1.96613	2.79258	
1.96632	2.57162	
1.9665	2.39547	
1.96668	2.25545	
1.96687	2.0895	
1.96705	1.96793	
1.96723	1.88082	
1.96742	1.82963	
1.9676	1.82282	
1.96779	1.78663	
1.96797	1.76888	
1.96815	1.82151	
1.96834	1.87145	
1.96852	1.92338	
1.96871	2.04674	
1.96889	2.14897	
1.96907	2.26848	
1.96926	2.39515	
1.96944	2.55338	
1.96962	2.76693	
1.96981	2.96772	
1.96999	3.25755	
1.97018	3.55776	
1.97036	3.93107	
1.97054	4.37041	
1.97073	4.85444	
1.97091	5.44884	
1.97109	6.06638	
1.97128	6.86887	
1.97146	7.81821	
1.97165	8.90742	
1.97183	10.1734	
1.97201	11.538	
1.9722	13.0144	
1.97238	14.4614	
1.97257	15.7994	
1.97275	16.9141	
1.97293	17.7748	
1.97312	18.4461	
1.9733	18.9083	
1.97348	19.126	
1.97367	19.1272	
1.97385	19.0249	
1.97404	18.7623	
1.97422	18.3288	
1.9744	17.8063	
1.97459	17.2618	
1.97477	16.7361	
1.97496	16.1891	
1.97514	15.7148	
1.97532	15.3839	
1.97551	15.1343	
1.97569	15.008	
1.97587	14.8972	
1.97606	14.584	
1.97624	14.124	
1.97643	13.4584	
1.97661	12.5036	
1.97679	11.3548	
1.97698	10.124	
1.97716	8.99439	
1.97735	8.0023	
1.97753	7.17028	
1.97771	6.45936	
1.9779	5.83849	
1.97808	5.37111	
1.97826	4.92349	
1.97845	4.54069	
1.97863	4.24869	
1.97882	3.97218	
1.979	3.78186	
1.97918	3.61204	
1.97937	3.50141	
1.97955	3.43182	
1.97974	3.3519	
1.97992	3.3797	
1.9801	3.42885	
1.98029	3.52461	
1.98047	3.6664	
1.98065	3.77282	
1.98084	3.95237	
1.98102	4.16185	
1.98121	4.39481	
1.98139	4.66642	
1.98157	4.98798	
1.98176	5.40131	
1.98194	5.8613	
1.98213	6.38353	
1.98231	6.95547	
1.98249	7.66254	
1.98268	8.50081	
1.98286	9.4546	
1.98304	10.6495	
1.98323	11.9846	
1.98341	13.4683	
1.9836	15.1479	
1.98378	16.9155	
1.98396	18.7594	
1.98415	20.6877	
1.98433	22.6636	
1.98451	24.6313	
1.9847	26.5595	
1.98488	28.3212	
1.98507	29.8311	
1.98525	31.0886	
1.98543	31.9489	
1.98562	32.327	
1.9858	32.3468	
1.98599	32.1868	
1.98617	31.9246	
1.98635	31.6372	
1.98654	31.3796	
1.98672	31.2151	
1.9869	31.1861	
1.98709	31.0267	
1.98727	30.5802	
1.98746	29.8266	
1.98764	28.7787	
1.98782	27.676	
1.98801	26.5799	
1.98819	25.4722	
1.98838	24.3796	
1.98856	23.2295	
1.98874	21.9281	
1.98893	20.3251	
1.98911	18.3798	
1.98929	16.3392	
1.98948	14.457	
1.98966	12.7806	
1.98985	11.3391	
1.99003	10.1117	
1.99021	9.04897	
1.9904	8.1378	
1.99058	7.36876	
1.99077	6.73947	
1.99095	6.1882	
1.99113	5.69754	
1.99132	5.26935	
1.9915	4.92793	
1.99168	4.67704	
1.99187	4.48764	
1.99205	4.35979	
1.99224	4.29739	
1.99242	4.28989	
1.9926	4.29336	
1.99279	4.39973	
1.99297	4.57957	
1.99316	4.75904	
1.99334	4.99953	
1.99352	5.29624	
1.99371	5.68196	
1.99389	6.138	
1.99407	6.66731	
1.99426	7.2667	
1.99444	7.97728	
1.99463	8.83039	
1.99481	9.73687	
1.99499	10.7805	
1.99518	12.0339	
1.99536	13.5502	
1.99555	15.3024	
1.99573	17.1665	
1.99591	19.0593	
1.9961	20.8007	
1.99628	22.3206	
1.99646	23.651	
1.99665	24.8068	
1.99683	25.8117	
1.99702	26.8215	
1.9972	28.0473	
1.99738	29.4652	
1.99757	30.9794	
1.99775	32.3142	
1.99794	33.2375	
1.99812	33.9198	
1.9983	34.415	
1.99849	34.7718	
1.99867	34.9412	
1.99885	34.8664	
1.99904	34.9411	
1.99922	35.1645	
1.99941	35.2059	
1.99959	34.7746	
1.99977	33.7632	
1.99996	32.3058	
2.00014	30.3909	
2.00032	28.2108	
2.00051	25.9409	
2.00069	23.7949	
2.00088	21.8711	
2.00106	20.013	
2.00124	18.2237	
2.00143	16.372	
2.00161	14.5509	
2.0018	12.9008	
2.00198	11.4459	
2.00216	10.2026	
2.00235	9.13251	
2.00253	8.25513	
2.00271	7.48003	
2.0029	6.87444	
2.00308	6.37266	
2.00327	5.94088	
2.00345	5.64282	
2.00363	5.36229	
2.00382	5.11714	
2.004	4.87893	
2.00419	4.64985	
2.00437	4.46709	
2.00455	4.34708	
2.00474	4.23474	
2.00492	4.12026	
2.0051	4.0659	
2.00529	4.02977	
2.00547	4.05363	
2.00566	4.10175	
2.00584	4.19929	
2.00602	4.39074	
2.00621	4.60683	
2.00639	4.85704	
2.00658	5.18297	
2.00676	5.57822	
2.00694	6.02205	
2.00713	6.58514	
2.00731	7.23452	
2.00749	7.91542	
2.00768	8.61354	
2.00786	9.30327	
2.00805	9.97052	
2.00823	10.6143	
2.00841	11.2651	
2.0086	11.915	
2.00878	12.7	
2.00897	13.6614	
2.00915	14.7017	
2.00933	15.8785	
2.00952	17.2698	
2.0097	18.849	
2.00988	20.5756	
2.01007	22.3172	
2.01025	23.8705	
2.01044	25.1692	
2.01062	25.9971	
2.0108	26.3186	
2.01099	26.2571	
2.01117	25.8107	
2.01136	25.1999	
2.01154	24.5025	
