ppm	val
1.74791	0.00146369	
1.74815	0.00228397	
1.74839	0.00244679	
1.74864	0.00260962	
1.74888	0.0022136	
1.74913	0.00181759	
1.74937	0.00142157	
1.74962	0.00102555	
1.74986	0.000761027	
1.75011	0.000496503	
1.75035	0.000231978	
1.7506	-3.25465e-05	
1.75084	-3.30601e-05	
1.75109	-3.35737e-05	
1.75133	0.000754864	
1.75157	0.0015433	
1.75182	0.00188795	
1.75206	0.00223261	
1.75231	0.00126234	
1.75255	0.000292074	
1.7528	0.00116269	
1.75304	0.00203331	
1.75329	0.00158902	
1.75353	0.00114472	
1.75378	0.00209752	
1.75402	0.00305032	
1.75427	0.00249097	
1.75451	0.00193161	
1.75475	0.00347407	
1.755	0.00186073	
1.75524	0.0013322	
1.75549	0.00238156	
1.75573	0.000916147	
1.75598	0.00260654	
1.75622	0.00360659	
1.75647	0.00145085	
1.75671	0.00336313	
1.75696	0.00527541	
1.7572	0.00159929	
1.75745	0.00107897	
1.75769	0.00272827	
1.75794	0.00122176	
1.75818	0.00300255	
1.75842	0.00478334	
1.75867	0.00422502	
1.75891	0.00366669	
1.75916	0.00494925	
1.7594	0.00623181	
1.75965	0.00452293	
1.75989	0.00281405	
1.76014	0.00347202	
1.76038	0.00412999	
1.76063	0.00476331	
1.76087	0.00539663	
1.76112	0.005241	
1.76136	0.00508536	
1.7616	0.00494617	
1.76185	0.00480697	
1.76209	0.00466777	
1.76234	0.00452858	
1.76258	0.00378842	
1.76283	0.00304827	
1.76307	0.00362303	
1.76332	0.00419779	
1.76356	0.00329327	
1.76381	0.00238875	
1.76405	0.00279915	
1.7643	0.00320955	
1.76454	0.00271183	
1.76478	0.00221412	
1.76503	0.0017164	
1.76527	0.00121868	
1.76552	0.00164141	
1.76576	0.00206413	
1.76601	0.0026841	
1.76625	0.00330406	
1.7665	0.00210266	
1.76674	0.00405706	
1.76699	0.0060772	
1.76723	0.00283767	
1.76748	0.00254028	
1.76772	0.00539868	
1.76796	0.0048383	
1.76821	0.00427792	
1.76845	0.00534064	
1.7687	0.00640336	
1.76894	0.00759758	
1.76919	0.00563599	
1.76943	0.00443047	
1.76968	0.00638076	
1.76992	0.0064573	
1.77017	0.00495593	
1.77041	0.00479824	
1.77066	0.00464055	
1.7709	0.00612651	
1.77115	0.00761247	
1.77139	0.00775064	
1.77163	0.00631091	
1.77188	0.00519991	
1.77212	0.00724471	
1.77237	0.0087471	
1.77261	0.0086716	
1.77286	0.0104699	
1.7731	0.0122681	
1.77335	0.0116338	
1.77359	0.0109994	
1.77384	0.0103651	
1.77408	0.00973072	
1.77433	0.00965317	
1.77457	0.00957561	
1.77481	0.00949805	
